LF,Mean,RF,nSize,zKey
0.18766084748271508,0.19627284180150723,0.20488483612029937,133.0,12_12
0.1760498600875541,0.1879206899192332,0.19979151975091228,133.0,10_12
0.17384919691214995,0.18482428273652982,0.19579936856090968,133.0,11_12
0.17044415959208561,0.18458626311341145,0.19872836663473728,133.0,9_12
0.17199362465082785,0.18201537240207485,0.19203712015332186,133.0,12_11
0.16752579295930062,0.1803185601555121,0.19311132735172357,133.0,10_11
0.16873995665257746,0.17941696347113023,0.190093970289683,133.0,8_12
0.1634983462255486,0.17560764523493896,0.18771694424432933,133.0,11_11
0.16241932880947824,0.17549313511221828,0.18856694141495833,133.0,9_11
0.15801043108430854,0.1671669599233698,0.17632348876243106,133.0,8_11
0.15772957494178727,0.16654647419085633,0.1753633734399254,133.0,12_10
0.15434716770383058,0.16552706314812946,0.17670695859242833,133.0,10_10
0.15313971463970955,0.1630057512016653,0.17287178776362105,133.0,9_10
0.15361045750073693,0.16045642523641573,0.16730239297209454,133.0,8_10
0.14885809293583202,0.159472763801131,0.17008743466643,133.0,11_10
0.14597392780026647,0.15836115295287442,0.17074837810548238,133.0,7_11
0.1450894788243278,0.15592814314517783,0.16676680746602787,133.0,7_12
0.14099440270256275,0.1539491058556392,0.16690380900871565,133.0,6_12
0.14153550792062505,0.15249374462010887,0.16345198131959268,133.0,9_9
0.1391642651966899,0.14831657533305045,0.157468885469411,133.0,8_9
0.13794167252071224,0.14686492856641287,0.1557881846121135,133.0,10_9
0.13872625331458183,0.14631825307972188,0.15391025284486193,133.0,12_9
0.13247796400130687,0.14559374526771857,0.15870952653413026,133.0,6_11
0.1304704261213874,0.1437803031726429,0.1570901802238984,133.0,9_8
0.12768290376524236,0.1413970779126496,0.15511125206005685,133.0,7_10
0.12934897690096994,0.14071131083045996,0.15207364475994997,133.0,10_8
0.13223065332734657,0.1401252509998254,0.14801984867230422,133.0,11_9
0.12606837856437433,0.13696959320322283,0.14787080784207132,133.0,10_7
0.12493746533390576,0.13347404284111924,0.14201062034833273,133.0,11_7
0.1260424824616367,0.13337961623773664,0.14071675001383657,133.0,12_8
0.12197378399435767,0.1293815872032648,0.13678939041217192,133.0,12_7
0.12149264269419523,0.12924153979787398,0.13699043690155271,133.0,11_8
0.11186718481044015,0.12414371183719286,0.13642023886394558,133.0,9_7
0.11174900642424335,0.12114979177663752,0.1305505771290317,133.0,8_8
0.1062301896293419,0.12035064341652095,0.1344710972037,133.0,6_10
